; Generated by VN Fusion Workbench
; choice effect SC057: setVar:shop_risk=shop_risk+2;
choose:快洗加热烘:SC_HOT|保存热敏单:SC_SAVE|冷水短漂:SC_COLD;
label:SC_HOT;
; SC059 expression=controlled action=闻舟把热敏纸推回口袋，手停了一秒
闻舟:快洗加热烘。味道会淡，纸会黑。;
; SC060 expression=low action=夏停把弯硬币放到投币口边，没推下去
夏停:黑就黑。它本来就不是什么好看的东西。;
; SC061 expression=flat action=闻舟从找零盒里拿出一枚普通硬币
闻舟:弯硬币收回去。差的一枚我垫，账上写退币故障。;
; SC062 expression=small action=夏停把弯硬币攥回掌心
夏停:小闻师傅，垫钱会不会折寿？我现在很穷，赔不起寿啊。;
; command SC063: stage:hot_wash_start
jumpLabel:SC_REJOIN;
label:SC_SAVE;
; SC066 expression=low action=闻舟把热敏单完整抽出，夹进蓝账夹
闻舟:纸先出来。它遇热就没了。;
; SC067 expression=tight action=夏停上前半步，手指却没碰到账夹
夏停:闻舟。你这算抢劫，抢一张很丑的纸。;
; SC068 expression=flat action=闻舟指了指监控，又把账夹合上
闻舟:可以报警。店里监控很清楚。;
; SC069 expression=small action=夏停把六枚硬币推到他面前
夏停:你讨厌死了，讨厌得很讲证据欸。;
; SC070 expression=neutral action=闻舟把普通硬币投入七号机
闻舟:少一枚，我垫；弯的别投。;
; command SC071: stage:saved_receipt_start
jumpLabel:SC_REJOIN;
label:SC_COLD;
; SC074 expression=low action=闻舟按下冷水键，面板从红转蓝
闻舟:冷水短漂。味道留一点，字也留一点。;
; SC075 expression=thin action=夏停盯着面板，指尖绕着塑料袋提手
夏停:一点是多少？可以量化吗，小闻工程师。;
; SC076 expression=flat action=闻舟把热敏单从口袋边移开，没抽出
闻舟:够你妹妹问。也够你回答。;
; SC077 expression=quiet action=她把弯硬币放回掌心，不再数
夏停:那你负责教我怎么回答？我语文很烂，作文常年跑题。;
; SC078 expression=low action=闻舟投入普通硬币，没有碰弯硬币
闻舟:滚筒停之前，我不问。停之后，你先别跑。;
; command SC079: stage:cold_wash_start
jumpLabel:SC_REJOIN;
label:SC_REJOIN;
; SC082 action=镜头贴近滚筒玻璃，水线晃动
:滚筒转起来，奶油色开衫贴着玻璃翻了半圈，袖口像一只不肯松开的手。;
; SC083 expression=quiet action=夏停坐到塑料椅边，只坐了三分之一
夏停:闻舟。你店里有没有那种……洗完以后不会被问的模式？;
; SC084 expression=flat action=闻舟把找零盒推回抽屉
闻舟:有，叫把衣服扔了。;
; SC085 expression=soft action=夏停看着滚筒，手指还在搓弯硬币边
夏停:那不行，她会骂我，专挑我没叠衣服的时候骂。;
; SC086 expression=low action=闻舟把蓝账夹压在手边
闻舟:房东阿姨？;
; SC087 expression=bare action=夏停低头，弯硬币停在拇指和食指之间
夏停:我妈，夏青禾，喜欢把挂号单塞口袋，回家再骂自己浪费纸。;
; SC088 expression=low action=闻舟没有接话，只把毛巾推到她手边
闻舟:嗯。;
; SC089 expression=small action=夏停拿起毛巾，先擦硬币，再擦手背
夏停:你嗯什么呀，嗯得像机器保修通过嘛？;
; SC090 expression=flat action=闻舟看向七号机剩余时间
闻舟:我在等滚筒停。;
; SC091 expression=soft_gruff action=手机外放又亮了一下，罗姨声音压低
罗姨:小闻，别收她烘干费，写机器故障；我没看监控啊，我眼神有那么闲吗？;
; SC092 expression=quiet action=夏停对着手机外放弯了一下眼睛
夏停:罗姨，我明天给你带葡萄汽水。大瓶的。;
; SC093 expression=cover action=电话那头恢复翻小票声
罗姨:少来，你小时候欠我三瓶。小闻，抽屉里有夹子，热敏纸别贴热机器边。;
; SC094 thought_action=闻舟从抽屉里拿出一个小夹子
:（小夹子压在掌心里，罗姨认得开衫，夏停也知道她认得；一个手机外放隔在中间，谁都没先把话说满。）;
; SC095 expression=low action=闻舟把弯硬币推回夏停掌心边
闻舟:弯硬币还你。今天别投。;
; SC096 expression=small action=夏停用毛巾盖住硬币，没收进包
夏停:我本来就没打算还，只是拿出来骗七号大爷开门。;
; SC097 expression=neutral action=闻舟在账夹上写下七号机退币故障
闻舟:骗机器可以。骗我贵一点。;
; SC098 expression=small_smile action=她把六枚硬币重新摆成一条线
夏停:那先赊着吧，我现在只有六枚硬币和一颗真心，真心不找零。;
; command SC099: stage:washer_timer_close
; SC100 thought_action=闻舟合上蓝账夹，拇指压住夹扣
:（夹扣硌着手指，屏幕还剩两分钟。够一台机器吐出硬币，也够一个人把一句话咽回去。）;
; command SC101: end:scene
